################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.3195044420832858E+00   1.8103972532236565E+01   1.0633886002579267E+01   2.0980328233908265E+00
         1          2   8.4531572171827871E-02   9.5576784478076107E+00   2.7043379286445806E+00   1.0502899429960095E+00
         1          3   9.8538912424903813E-01   1.3974688972133201E+01   8.0979058014027903E+00   1.6164528463655705E+00
         1          4   3.6105618353810952E-02   7.1237180776670268E+00   1.7916696489297408E+00   7.6320995991210472E-01
         1          5   6.5697225343627341E-01   1.0878503661253941E+01   6.2224939252628948E+00   1.2655959955950651E+00
         1          6   1.4176803860885320E-02   5.3261474185358555E+00   1.1845449826931456E+00   5.6037006231978981E-01
         1          7   2.1915038348962204E-01   5.9884754571704226E+00   3.3362279266146651E+00   7.4088306202052479E-01
         1          8   9.0051639715332040E-04   2.7363509406303614E+00   4.1826693203858611E-01   2.6719919857875046E-01
         1          9   8.2932436473149207E-01   1.3542835267087412E+01   7.7395111684059099E+00   1.5471533090970564E+00
         1         10   1.0081151307393730E-02   6.7674575635877900E+00   1.4595166344881105E+00   7.1306346503456697E-01
         1         11   4.1740827024100056E-02   3.2735889432313057E+00   1.5761458598197831E+00   4.1888809968607194E-01
         1         12   8.3859400827712870E-06   1.2474164311734328E+00   1.0814425663870438E-01   1.0520631570859053E-01
         1         13   5.2645335476027566E-01   1.1226990001003729E+01   6.3120766337603449E+00   1.2882661015786103E+00
         1         14   1.1695275505191735E-03   5.2859082782667546E+00   9.4588912882945475E-01   5.6457187344329540E-01
         1         15   1.8107152516231985E-03   1.5122608637455794E+00   5.0539713365649197E-01   1.8227065765980932E-01
         1         16   7.3927809728348890E-10   4.7956162016214654E-01   1.3484067996027136E-02   2.6524961878299256E-02
         1         17   2.4589695420918997E-01   9.0534411390383873E+00   4.9964640330813515E+00   1.0674451044877802E+00
         1         18   1.2960132434841901E-05   4.1559332851719120E+00   5.3407195345220504E-01   4.2750593189886621E-01
         1         19   3.2882636548049529E-02   7.1015351286113297E+00   3.8709353980260524E+00   9.2153415000017447E-01
         1         20   2.5862853092906048E-11   2.8833180699067178E+00   2.0435283618545114E-01   2.7265415214218441E-01
         1         21   2.7463435283849626E-03   6.1294083707797622E+00   3.5115087822721067E+00   9.4350416637150369E-01
         1         22   5.4928487157712820E-19   2.6633733711095444E+00   9.7094786207500783E-02   1.9997266678099465E-01
         1         23   5.2294710758363119E-06   3.6740785726465745E+01   1.1313754841868164E+01   5.0287634400604206E+00
         1         24   3.4771003748103720E-02   1.8984512319141217E+01   4.3676912715109468E+00   2.1902533825986352E+00
         1         25   7.8764560129338752E-05   7.0303395959860842E+00   4.8598458331103045E-01   4.6210113247412232E-01
         1         26   5.5824068788205594E-01   8.3294384823538465E+01   2.8511656554411381E+01   1.2352849538606257E+01
         1         27   1.6825728668366952E-01   3.9173827739915367E+01   8.8456015308401739E+00   4.1334230882231449E+00
         1         28   4.6936601071010010E-04   2.0849262557275992E+01   2.0490063591839638E+00   1.5408657364883835E+00
         1         29   6.5610503276123648E-11   1.9472733881930470E+01   6.2213188996487609E+00   2.7997294715711192E+00
         1         30   8.0566335324965040E-03   1.0216766015584597E+01   1.9718123856660201E+00   1.1349467526903569E+00
         1         31   1.2268212501385607E-05   3.3998554072666156E+00   1.2755406729373023E-01   1.7897982179236846E-01
         1         32   5.1785683827988882E-01   6.6189164969865374E+01   2.3419220612192017E+01   1.0091502890891455E+01
         1         33   1.4071661793220303E-01   2.9380291999309723E+01   6.4497226449952363E+00   3.0852525368497918E+00
         1         34   4.0286966308214695E-04   1.7518891015051576E+01   1.6905758431666553E+00   1.2568674669064910E+00
         1         35   2.3748629971419760E-20   1.1195204347031405E+01   3.4243213758868101E+00   1.6133465489425503E+00
         1         36   7.4729775153116538E-04   6.1612010404562678E+00   6.7809761274549663E-01   5.2367129148506242E-01
         1         37   3.2516361434756209E-07   1.6192741777414832E+00   2.0181382927733860E-02   6.9068144016778174E-02
         1         38   4.4716433010238121E-01   4.7809023950569596E+01   1.7843608910346020E+01   7.6537372099039294E+00
         1         39   8.2323910581323906E-02   1.8925750537425209E+01   3.9124279740566386E+00   2.0023673523883061E+00
         1         40   2.9908174412365726E-04   1.3713427015081018E+01   1.1987679069603916E+00   9.0384754371731890E-01
         1         41   4.2226675444854052E-06   3.1513036723159761E+01   9.6401070392632313E+00   4.3236113076002978E+00
         1         42   2.3403539869645384E-02   1.5834795580324846E+01   3.5578261128221431E+00   1.8376176749616226E+00
         1         43   4.6052598212393784E-05   5.9443437947831290E+00   3.8655732591486008E-01   3.7771648553626691E-01
         1         44   4.6061928179751555E-01   7.1468793705534708E+01   2.4320544139856597E+01   1.0604490590844312E+01
         1         45   1.1573534487624879E-01   3.2612703086640906E+01   7.1790995345622912E+00   3.4635911120208296E+00
         1         46   2.7565058648299081E-04   1.7687313543253541E+01   1.6105222720850358E+00   1.2547581550920091E+00
         1         47   1.8794108642002523E-20   9.7681629716395015E+00   2.9068383065116761E+00   1.3895151167997459E+00
         1         48   4.8660414742756123E-04   5.3825612315466529E+00   5.5035356632763921E-01   4.3719275124468632E-01
         1         49   1.8928995895556852E-07   1.3311911247072135E+00   1.5965913950263713E-02   5.6090412629610918E-02
         1         50   3.6768320058948606E-01   4.0853943690004215E+01   1.5200172456395585E+01   6.5669142323010927E+00
         1         51   5.7732616239706464E-02   1.5679358274046324E+01   3.1604199186609789E+00   1.6707509085824472E+00
         1         52   1.7601628888729915E-04   1.1741157916251334E+01   9.3539138032739155E-01   7.3549515124555054E-01
         2          1   0.0000000000000000E+00   1.2556929242168485E+01   2.2408901071126679E+00   2.9434215325686042E+00
         2          2   0.0000000000000000E+00   1.4815327781277418E+01   7.0731212469115849E+00   1.7741229198424036E+00
         2          3   0.0000000000000000E+00   9.5600040739014656E+00   1.4846276232619120E+00   2.0426348737203908E+00
         2          4   0.0000000000000000E+00   1.0549626818692815E+01   4.9380811195356920E+00   1.2713497499591575E+00
         2          5   0.0000000000000000E+00   7.4268460398020588E+00   9.8154713027207652E-01   1.4119805976158046E+00
         2          6   0.0000000000000000E+00   7.5066053011992802E+00   3.4198258891994961E+00   9.1113441584764343E-01
