################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.2932925139793284E+01 a         1     0     1     1     1
  5.0336348710672375E+01 a         2     0     1     1     2
 -6.9447246882771282E+01 a         3     0     1     1     3
 -1.7189409396386601E+01 a         4     0     1     1     4
 -1.7922468269859831E+01 a         5     0     1     1     5
 -2.9173995681026554E+01 a         6     0     1     1     6
  1.6844292277934294E+01 a         7     0     1     1     7
  6.2119988605205529E+00 a         8     0     1     1     8
  6.2159015510744048E+01 a         9     0     1     1     9
  7.4251965695348161E+01 a        10     0     1     1    10
 -2.0719369774300478E+01 a        11     0     1     1    11
  4.4128397733989821E+01 a        12     0     1     1    12
  2.6603606815909195E+01 a        13     0     1     1    13
  3.2462333256286335E+01 a        14     0     1     1    14
  8.6402148060941201E+01 a        15     0     1     1    15
 -8.2110250736674697E+00 a        16     0     1     1    16
  2.8454409521467856E+01 a        17     0     1     1    17
  3.6208289940225438E+00 a        18     0     1     1    18
 -1.5547349572117652E+01 a        19     0     1     1    19
 -1.1005685919201058E+01 a        20     0     1     1    20
  1.5028164912664106E+01 a        21     0     2     1     1
 -1.3216798859079425E+01 a        22     0     2     1     2
 -2.1452690411940472E+00 a        23     0     2     1     3
 -2.1909630141174173E+01 a        24     0     2     1     4
 -1.1052062252713570E+01 a        25     0     2     1     5
 -1.1337349304849567E+01 a        26     0     2     1     6
 -3.2896197087011380E+01 a        27     0     2     1     7
 -1.0336556666730887E+01 a        28     0     2     1     8
  2.7458751571082029E+01 a        29     0     2     1     9
  1.8615481276336077E+01 a        30     0     2     1    10
  1.0051253251600176E+01 a        31     0     2     1    11
 -1.0980948793228903E+01 a        32     0     2     1    12
 -2.3929645158478621E+01 a        33     0     2     1    13
 -1.8464665662646522E+00 a        34     0     2     1    14
 -9.5996472663991810E+00 a        35     0     2     1    15
 -8.4650564633460135E+01 a        36     0     2     1    16
 -5.3740090002466703E+00 a        37     0     2     1    17
 -3.5337588906518951E+00 a        38     0     2     1    18
  1.0831419752478832E+01 a        39     0     2     1    19
 -1.8827412091219141E+01 a        40     0     2     1    20
 -1.2999483794691037E+02 a        41     0     3     1     1
 -6.5090722608502276E+01 a        42     0     3     1     2
  3.7146047172853081E+01 a        43     0     3     1     3
 -9.3617733091854021E+00 a        44     0     3     1     4
  1.4908955185925567E+01 a        45     0     3     1     5
  4.7327673314138558E+01 a        46     0     3     1     6
 -1.3598479196846570E+01 a        47     0     3     1     7
 -1.1116037405637075E+01 a        48     0     3     1     8
 -1.6297200974597044E+02 a        49     0     3     1     9
 -2.0927576942191496E+02 a        50     0     3     1    10
  2.4721806844984208E+01 a        51     0     3     1    11
 -1.3285927710611793E+01 a        52     0     3     1    12
 -4.7717532473605274E+01 a        53     0     3     1    13
 -2.7131517989724681E+01 a        54     0     3     1    14
 -9.0854687992665177E+01 a        55     0     3     1    15
 -2.7291434813692177E+01 a        56     0     3     1    16
 -7.7009984493054816E+01 a        57     0     3     1    17
  3.7537370707369986E+00 a        58     0     3     1    18
 -1.1485283023854702E+01 a        59     0     3     1    19
 -1.4400129116546013E+01 a        60     0     3     1    20
 -4.0136547410436854E+01 a        61     0     4     1     1
  1.8189788883318066E+01 a        62     0     4     1     2
 -1.4101856141481902E-03 a        63     0     4     1     3
  4.8241489607712808E+01 a        64     0     4     1     4
  2.5774759934058928E+01 a        65     0     4     1     5
  8.9681854883733347E+00 a        66     0     4     1     6
  9.8389447540385092E+01 a        67     0     4     1     7
  2.7090335427723691E+01 a        68     0     4     1     8
 -2.3914402846571779E+01 a        69     0     4     1     9
 -5.3059220221954426E+01 a        70     0     4     1    10
 -2.3972960675693894E+01 a        71     0     4     1    11
  2.4753007275924478E+01 a        72     0     4     1    12
  2.1194486076824990E+01 a        73     0     4     1    13
  5.8958535242422694E-01 a        74     0     4     1    14
  3.8138137342498489E+01 a        75     0     4     1    15
  1.7224242788760807E+02 a        76     0     4     1    16
 -9.9292030577389454E+00 a        77     0     4     1    17
  8.9376788852134776E+00 a        78     0     4     1    18
  1.7795611637273812E+01 a        79     0     4     1    19
  6.3480372078758322E+01 a        80     0     4     1    20
 -3.1810396254638807E+01 a        81     0     5     1     1
 -3.7867419019757534E+01 a        82     0     5     1     2
  1.2946772532072379E+02 a        83     0     5     1     3
  1.1609335193290991E+02 a        84     0     5     1     4
  8.2228891131487373E+01 a        85     0     5     1     5
  1.3103927154500630E+02 a        86     0     5     1     6
 -8.8430197162332433E+00 a        87     0     5     1     7
  4.1500654955047338E+01 a        88     0     5     1     8
  7.8295000683717618E+01 a        89     0     5     1     9
  2.7496936998967794E+01 a        90     0     5     1    10
  1.5749812361656817E+01 a        91     0     5     1    11
 -1.6289705789347175E+02 a        92     0     5     1    12
 -2.6656764342010487E+01 a        93     0     5     1    13
 -8.1674571818416226E+01 a        94     0     5     1    14
 -1.0639745110403648E+02 a        95     0     5     1    15
  1.6269708105241723E+01 a        96     0     5     1    16
  2.8117077147880305E+01 a        97     0     5     1    17
 -6.0411374663176460E+01 a        98     0     5     1    18
  1.3287770062396364E+01 a        99     0     5     1    19
  1.2006015812542314E+02 a       100     0     5     1    20
  2.4391627503219539E+01 a       101     0     6     1     1
  2.2241648590378507E+01 a       102     0     6     1     2
  3.3974173257575593E+01 a       103     0     6     1     3
 -2.9384569067375703E+00 a       104     0     6     1     4
  1.9489311976045570E+01 a       105     0     6     1     5
  3.9255523116269764E+01 a       106     0     6     1     6
 -8.5026673833220165E+00 a       107     0     6     1     7
  1.5346896971710022E+01 a       108     0     6     1     8
 -5.9259751490751107E+01 a       109     0     6     1     9
  8.5911010824689455E+00 a       110     0     6     1    10
  9.0102634595331974E+00 a       111     0     6     1    11
 -9.3520668817183186E+00 a       112     0     6     1    12
  2.4039031760355289E+01 a       113     0     6     1    13
  8.6434728800914264E+00 a       114     0     6     1    14
 -1.2844454140446777E+01 a       115     0     6     1    15
  5.2875968931512745E+01 a       116     0     6     1    16
  3.3381289184727521E+01 a       117     0     6     1    17
 -2.8036648998842615E+01 a       118     0     6     1    18
 -9.0998215149817895E+01 a       119     0     6     1    19
 -8.4138341948739694E+01 a       120     0     6     1    20
  2.7372662362365904E+01 a       121     0     7     1     1
  3.5665852881077683E+01 a       122     0     7     1     2
 -3.1317827175829729E+02 a       123     0     7     1     3
  2.4042462735205547E+02 a       124     0     7     1     4
 -2.2030926032752265E+02 a       125     0     7     1     5
 -8.6394009279347372E+01 a       126     0     7     1     6
  2.0227967609239217E+00 a       127     0     7     1     7
 -1.3842247112565400E+02 a       128     0     7     1     8
  9.5179048858925256E+01 a       129     0     7     1     9
 -7.9040191601055938E+01 a       130     0     7     1    10
  2.5047041942798970E+01 a       131     0     7     1    11
  5.3557793928709437E+01 a       132     0     7     1    12
 -1.3713450577126900E+02 a       133     0     7     1    13
  8.6026179103859278E+01 a       134     0     7     1    14
  4.3733939833392430E+00 a       135     0     7     1    15
  1.5264167331669285E+01 a       136     0     7     1    16
 -8.6522127964050171E+01 a       137     0     7     1    17
  2.4584317707187810E+02 a       138     0     7     1    18
  1.8902817854614187E+02 a       139     0     7     1    19
  6.7681979533675838E+02 a       140     0     7     1    20
 -6.3301820598692107E+00 a       141     0     8     1     1
  1.0503449488295198E+01 a       142     0     8     1     2
 -1.4792358202277624E+01 a       143     0     8     1     3
 -2.9792396824699265E+00 a       144     0     8     1     4
 -5.0274014401291121E+00 a       145     0     8     1     5
 -1.8335470242004046E+01 a       146     0     8     1     6
  1.0170222145315385E+01 a       147     0     8     1     7
 -1.3139717278409501E+01 a       148     0     8     1     8
  3.3875999469113189E+01 a       149     0     8     1     9
 -1.9077679694582514E+01 a       150     0     8     1    10
 -6.6341235679960633E+00 a       151     0     8     1    11
  1.9221090260405300E+00 a       152     0     8     1    12
 -1.1769521295169142E+01 a       153     0     8     1    13
 -6.8186438497204378E+00 a       154     0     8     1    14
  7.4732428988971016E+00 a       155     0     8     1    15
 -4.0635056364473954E+01 a       156     0     8     1    16
 -1.1889308356633125E+01 a       157     0     8     1    17
  6.2948223745371719E+00 a       158     0     8     1    18
  4.6306664600567579E+01 a       159     0     8     1    19
  5.0473974285115283E+01 a       160     0     8     1    20
  6.7230117890519452E+01 a       161     0     9     1     1
  1.5096087034158860E+01 a       162     0     9     1     2
  3.5110976099822694E-01 a       163     0     9     1     3
 -1.1465133095615269E+02 a       164     0     9     1     4
 -7.3384445648680142E+01 a       165     0     9     1     5
 -1.7989283608446615E+02 a       166     0     9     1     6
  5.7804142020349104E+01 a       167     0     9     1     7
 -2.9393670160609055E+01 a       168     0     9     1     8
  5.0061634974243354E+01 a       169     0     9     1     9
  1.7302731454626181E+02 a       170     0     9     1    10
 -1.0703880225399296E+01 a       171     0     9     1    11
