################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.4447060907804286E+00 a         1     0     1     1     1
  1.1744824885216867E+02 a         2     0     1     1     2
 -5.4828272137039589E+00 a         3     0     1     1     3
  1.0116496933268413E+01 a         4     0     1     1     4
 -1.3950634918360956E+02 a         5     0     1     1     5
  2.3045463307166450E+01 a         6     0     1     1     6
 -5.6778009803942929E+01 a         7     0     1     1     7
  1.3592486302833279E+01 a         8     0     1     1     8
 -4.5743388696959244E+01 a         9     0     1     1     9
  1.9719026031928216E+01 a        10     0     1     1    10
 -3.5522085540494267E+01 a        11     0     1     1    11
 -4.2195137374836861E+01 a        12     0     1     1    12
  6.9818738989609197E-01 a        13     0     1     1    13
  9.6923034263328432E+01 a        14     0     1     1    14
 -2.7487460464889871E+01 a        15     0     1     1    15
  6.9534093865260047E+01 a        16     0     1     1    16
  5.0519172436414223E+01 a        17     0     1     1    17
  2.5927081645905083E+01 a        18     0     1     1    18
  6.2361644230646469E+01 a        19     0     1     1    19
 -2.0935539434583822E+02 a        20     0     1     1    20
  6.6568878672493511E+01 a        21     0     2     1     1
 -2.6677431944079302E+01 a        22     0     2     1     2
 -9.7530491308430101E+00 a        23     0     2     1     3
  3.3909416785034814E+01 a        24     0     2     1     4
  1.6798625185492284E+01 a        25     0     2     1     5
 -8.7125707190593133E+01 a        26     0     2     1     6
  7.6619737035748381E+00 a        27     0     2     1     7
 -1.8772344967560418E+01 a        28     0     2     1     8
  5.4626664995648561E+01 a        29     0     2     1     9
  5.2709267672767695E+00 a        30     0     2     1    10
 -2.4346843921341666E+01 a        31     0     2     1    11
 -3.1266664695969741E+01 a        32     0     2     1    12
  3.8847843192625056E+01 a        33     0     2     1    13
 -5.8035554930874248E+01 a        34     0     2     1    14
 -5.1668176307841399E+01 a        35     0     2     1    15
  2.4522441413135638E+01 a        36     0     2     1    16
 -1.4348494567190743E+01 a        37     0     2     1    17
 -8.6712950958306919E+01 a        38     0     2     1    18
  3.8351068948477362E+01 a        39     0     2     1    19
  1.5285482729939430E+01 a        40     0     2     1    20
  2.7185513802433135E+01 a        41     0     3     1     1
 -1.3034117398910348E+02 a        42     0     3     1     2
  1.4282952512770908E+02 a        43     0     3     1     3
  1.4592924251231391E+01 a        44     0     3     1     4
  3.4640921056662478E+02 a        45     0     3     1     5
 -9.6861582709437101E+01 a        46     0     3     1     6
  1.3751612000131038E+02 a        47     0     3     1     7
 -1.0512503634868985E+02 a        48     0     3     1     8
  1.3613551423520630E+02 a        49     0     3     1     9
 -1.2227755655364651E+02 a        50     0     3     1    10
  1.7902670396250576E+02 a        51     0     3     1    11
  1.2496137634011569E+02 a        52     0     3     1    12
  1.0321156691628559E+02 a        53     0     3     1    13
 -2.1460689125142352E+02 a        54     0     3     1    14
  7.9489484508586330E+01 a        55     0     3     1    15
 -7.1502541462160750E+01 a        56     0     3     1    16
 -7.9508992624315127E+01 a        57     0     3     1    17
 -1.1563647564973668E+02 a        58     0     3     1    18
  1.1453065362683228E+01 a        59     0     3     1    19
  4.2124367311695028E+02 a        60     0     3     1    20
 -1.6566171572426882E+02 a        61     0     4     1     1
  8.2349704831962001E+01 a        62     0     4     1     2
  7.7811794475514674E+01 a        63     0     4     1     3
 -5.9296292874858743E+01 a        64     0     4     1     4
 -9.6631998932350989E+00 a        65     0     4     1     5
  2.7809197424427504E+02 a        66     0     4     1     6
 -2.4733325419146606E+01 a        67     0     4     1     7
  1.2618573182155727E+02 a        68     0     4     1     8
 -1.6058291421625631E+02 a        69     0     4     1     9
 -7.2137952176827667E+01 a        70     0     4     1    10
  7.6371261295916000E+01 a        71     0     4     1    11
  1.0737051581046188E+02 a        72     0     4     1    12
 -7.5592880046934724E+01 a        73     0     4     1    13
  1.9026827799919946E+02 a        74     0     4     1    14
  2.4906960759811909E+02 a        75     0     4     1    15
 -9.6511577061967600E+01 a        76     0     4     1    16
  1.1272001947258284E+01 a        77     0     4     1    17
  1.8956307085913579E+02 a        78     0     4     1    18
 -1.2314003702898739E+02 a        79     0     4     1    19
 -6.6662183548638836E+01 a        80     0     4     1    20
 -4.6079745470864664E+00 a        81     0     5     1     1
 -1.9385818159721538E+02 a        82     0     5     1     2
 -2.7981379529471241E+02 a        83     0     5     1     3
  1.7503509600034384E+01 a        84     0     5     1     4
 -1.1242037307534709E+02 a        85     0     5     1     5
  1.5791818299071207E+02 a        86     0     5     1     6
 -3.9083501205163898E+01 a        87     0     5     1     7
  7.4887781855682476E+01 a        88     0     5     1     8
 -9.5929710838857815E+01 a        89     0     5     1     9
  1.7503845471413084E+02 a        90     0     5     1    10
 -3.1212345054556693E+02 a        91     0     5     1    11
 -1.2903161585786043E+02 a        92     0     5     1    12
 -2.2086002664659435E+02 a        93     0     5     1    13
 -4.8881151514159058E+01 a        94     0     5     1    14
  1.5509921294775163E+01 a        95     0     5     1    15
 -2.8878498143136085E+02 a        96     0     5     1    16
  9.4645467891321005E+01 a        97     0     5     1    17
  2.5397323981157506E+01 a        98     0     5     1    18
 -4.6855738144032966E+02 a        99     0     5     1    19
  3.8922188650454565E+01 a       100     0     5     1    20
  7.3915062198736891E+01 a       101     0     6     1     1
 -8.3888808879119750E+01 a       102     0     6     1     2
 -1.4121446276932872E+02 a       103     0     6     1     3
 -6.0362712772013495E+01 a       104     0     6     1     4
 -8.3735561783777300E+01 a       105     0     6     1     5
 -2.5592918965939589E+02 a       106     0     6     1     6
  1.3175023621688950E+01 a       107     0     6     1     7
 -2.0333348922890798E+02 a       108     0     6     1     8
  1.1716191577941505E+02 a       109     0     6     1     9
  1.6940195015855332E+02 a       110     0     6     1    10
 -6.2885350604299170E+01 a       111     0     6     1    11
 -1.4322133490070985E+02 a       112     0     6     1    12
  3.4972005078953767E+00 a       113     0     6     1    13
 -1.9932808404825030E+02 a       114     0     6     1    14
 -3.9357301133178402E+02 a       115     0     6     1    15
  1.2632419465231924E+02 a       116     0     6     1    16
  6.4982537946703701E+01 a       117     0     6     1    17
