################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.9196035659250676E+00 a         1     0     1     1     1
 -2.2895260207650510E+00 a         2     0     1     1     2
  5.6561902507283159E+00 a         3     0     1     1     3
 -1.6559782615968912E+00 a         4     0     1     1     4
 -1.8844806397456587E-01 a         5     0     1     1     5
  6.0329458583475839E+00 a         6     0     1     1     6
 -6.8370858412812323E+00 a         7     0     1     1     7
 -4.1091295208797813E+00 a         8     0     1     1     8
  5.2291385239306036E+00 a         9     0     1     1     9
 -1.0376987409890395E+01 a        10     0     1     1    10
 -8.4002650579550622E+00 a        11     0     1     1    11
  2.9829713942069804E+00 a        12     0     1     1    12
 -8.4942796581856705E-01 a        13     0     1     1    13
  4.2879069933840941E-01 a        14     0     1     1    14
 -5.2068272989029241E-01 a        15     0     1     1    15
 -2.0547331046840709E+00 a        16     0     1     1    16
 -1.6174411280869345E+00 a        17     0     1     1    17
  4.2144019592834310E+00 a        18     0     1     1    18
 -1.3697081475737090E+00 a        19     0     1     1    19
  4.1209938226790861E+00 a        20     0     1     1    20
 -7.1588512005353220E+00 a        21     0     2     1     1
 -3.4386201834814596E+00 a        22     0     2     1     2
 -4.8220060201637791E+00 a        23     0     2     1     3
 -4.1652339732333266E+00 a        24     0     2     1     4
 -1.3148898889029383E+00 a        25     0     2     1     5
 -3.4155765204682780E+00 a        26     0     2     1     6
  2.6250184296732777E+00 a        27     0     2     1     7
 -4.2356382611054777E-01 a        28     0     2     1     8
  4.2859642208810517E-01 a        29     0     2     1     9
 -4.1275794879227751E-01 a        30     0     2     1    10
  7.4284295652986065E-01 a        31     0     2     1    11
  5.6582145967192155E+00 a        32     0     2     1    12
  5.0697758564984339E+00 a        33     0     2     1    13
 -1.2241982456433078E+01 a        34     0     2     1    14
 -3.5689811610151589E+00 a        35     0     2     1    15
  4.1767472885289116E+00 a        36     0     2     1    16
  7.7200338789138119E+00 a        37     0     2     1    17
 -1.8763243297444316E+00 a        38     0     2     1    18
 -4.3187213662022872E+00 a        39     0     2     1    19
 -3.6190262024545512E+00 a        40     0     2     1    20
 -2.2958196248396439E+00 a        41     0     3     1     1
  3.1580435415685866E+00 a        42     0     3     1     2
 -1.7050464320176237E+00 a        43     0     3     1     3
  3.0648841084022584E+00 a        44     0     3     1     4
  2.4170672335445191E+00 a        45     0     3     1     5
  3.6960288166698363E+00 a        46     0     3     1     6
 -1.7384677807510293E-01 a        47     0     3     1     7
 -3.8046827186536530E-01 a        48     0     3     1     8
 -9.2296133432022909E-01 a        49     0     3     1     9
  1.9473039021691949E+00 a        50     0     3     1    10
  3.3185077129838456E+00 a        51     0     3     1    11
 -1.1881950374777595E+00 a        52     0     3     1    12
 -5.3788493725028130E-01 a        53     0     3     1    13
  3.2871834906013895E+00 a        54     0     3     1    14
  9.3188745012437622E+00 a        55     0     3     1    15
  1.2435358479028586E+00 a        56     0     3     1    16
 -6.3200154068618841E-01 a        57     0     3     1    17
 -5.5378047414541420E+00 a        58     0     3     1    18
 -4.6194221501468741E-01 a        59     0     3     1    19
 -2.5026685068398052E-01 a        60     0     3     1    20
 -8.6576887154290927E-01 a        61     0     4     1     1
  3.4281712497038437E+00 a        62     0     4     1     2
  3.7179294689033227E+00 a        63     0     4     1     3
  8.1423567534084196E-02 a        64     0     4     1     4
  7.9879210065924078E-01 a        65     0     4     1     5
  6.3711407595752068E+00 a        66     0     4     1     6
 -8.3411779606176744E+00 a        67     0     4     1     7
  5.4477938048613972E-01 a        68     0     4     1     8
 -1.3347211020504379E+00 a        69     0     4     1     9
  1.9317830449112159E+00 a        70     0     4     1    10
  1.4772908733759302E+00 a        71     0     4     1    11
  2.9593086921619771E+00 a        72     0     4     1    12
  1.2059592878807430E+00 a        73     0     4     1    13
  1.7067883703461629E+01 a        74     0     4     1    14
  7.2684478224610523E+00 a        75     0     4     1    15
  8.7517272116166622E-01 a        76     0     4     1    16
 -4.4793574965434582E+00 a        77     0     4     1    17
  3.8216730980604678E+00 a        78     0     4     1    18
  4.2809893663955743E+00 a        79     0     4     1    19
  1.1572280643400441E+01 a        80     0     4     1    20
 -5.0648988156201238E+00 a        81     0     5     1     1
  2.5329423589324440E+00 a        82     0     5     1     2
 -2.6080083695488172E+00 a        83     0     5     1     3
  2.2381468594119034E+00 a        84     0     5     1     4
  8.6475322227365170E-01 a        85     0     5     1     5
  6.6638450168228514E-01 a        86     0     5     1     6
  3.8284488234148206E+00 a        87     0     5     1     7
  4.0600974951826012E-02 a        88     0     5     1     8
 -5.4520674183797757E+00 a        89     0     5     1     9
  6.3134371811238736E+00 a        90     0     5     1    10
  3.8290875033940801E+00 a        91     0     5     1    11
 -1.5136642874082626E+00 a        92     0     5     1    12
 -2.2704798078165239E-01 a        93     0     5     1    13
  1.1643427712229091E+00 a        94     0     5     1    14
  6.7313265278787817E+00 a        95     0     5     1    15
  1.0671082133450265E+00 a        96     0     5     1    16
  1.2883803948280563E+00 a        97     0     5     1    17
 -4.3217700301862498E+00 a        98     0     5     1    18
 -7.0258854678409299E-01 a        99     0     5     1    19
 -3.6707658194086177E+00 a       100     0     5     1    20
 -1.7318788172283361E-01 a       101     0     6     1     1
  7.4872968945512253E-01 a       102     0     6     1     2
  2.8722041348935856E+00 a       103     0     6     1     3
  6.0442830386479951E-01 a       104     0     6     1     4
  1.7295477715034300E+00 a       105     0     6     1     5
  1.0515953629154458E+00 a       106     0     6     1     6
 -5.6892872026497061E+00 a       107     0     6     1     7
  2.7905211229361954E-01 a       108     0     6     1     8
 -8.8727762182200376E-01 a       109     0     6     1     9
  3.3693340385628709E+00 a       110     0     6     1    10
  6.6900112653529031E-01 a       111     0     6     1    11
  8.7432834589807495E-01 a       112     0     6     1    12
 -3.3754833908531579E+00 a       113     0     6     1    13
  6.4929918148001411E+00 a       114     0     6     1    14
  7.2095637584868069E+00 a       115     0     6     1    15
 -6.1463432459415257E+00 a       116     0     6     1    16
 -5.3024502817743029E+00 a       117     0     6     1    17
  4.9994020985435723E+00 a       118     0     6     1    18
 -2.3013360913970168E-01 a       119     0     6     1    19
  2.5178256750491479E+00 a       120     0     6     1    20
 -1.8019427767888136E+00 a       121     0     7     1     1
 -2.7351268725384790E+00 a       122     0     7     1     2
 -2.4620393692059225E-01 a       123     0     7     1     3
 -3.6172585492309839E+00 a       124     0     7     1     4
 -1.9043318500906794E+00 a       125     0     7     1     5
 -2.8689884676862905E+00 a       126     0     7     1     6
  3.4787495875799790E+00 a       127     0     7     1     7
  9.6997469190214414E-01 a       128     0     7     1     8
 -4.0384466713066569E+00 a       129     0     7     1     9
  2.4701683041309655E-01 a       130     0     7     1    10
 -1.5022757110257328E+00 a       131     0     7     1    11
 -2.0786020375385266E+00 a       132     0     7     1    12
 -5.9210686668839108E-01 a       133     0     7     1    13
 -3.5710267080979028E+00 a       134     0     7     1    14
 -5.6799127194555590E+00 a       135     0     7     1    15
 -8.7326745825703420E-02 a       136     0     7     1    16
