################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.9718538067314917E+00   1.8103972532236565E+01   1.0669388601454930E+01   2.0535795190956980E+00
         1          2   8.4531572171827871E-02   9.5576784478076107E+00   2.6892722931161481E+00   1.0224740319980741E+00
         1          3   3.5924562822024746E+00   1.3974688972133201E+01   8.1237037785242112E+00   1.5860219152750468E+00
         1          4   3.6105618353810952E-02   6.9442334093932327E+00   1.7791626994061358E+00   7.3848085063733127E-01
         1          5   2.5441673961883309E+00   1.0878503661253941E+01   6.2412545549431764E+00   1.2451177778900078E+00
         1          6   1.4176803860885320E-02   5.0343579334075512E+00   1.1742802246926849E+00   5.3875800956302555E-01
         1          7   9.7497652768025855E-01   5.9884754571704226E+00   3.3447338304965295E+00   7.3394926250118719E-01
         1          8   9.0051639715332040E-04   2.2656234495310072E+00   4.1215152306379932E-01   2.5210360832571571E-01
         1          9   3.1925191739911978E+00   1.3542835267087412E+01   7.7631942691797606E+00   1.5202213666518882E+00
         1         10   1.0081151307393730E-02   6.3684023402860959E+00   1.4466216389081801E+00   6.8620979724220110E-01
         1         11   2.5547986130507833E-01   3.2735889432313057E+00   1.5792871105401749E+00   4.1753833662580314E-01
         1         12   8.3859400827712870E-06   9.5920043920116982E-01   1.0500636329854092E-01   9.4965316413706313E-02
         1         13   2.2111238724215267E+00   1.1226990001003729E+01   6.3298976906782984E+00   1.2699536274608800E+00
         1         14   1.1695275505191735E-03   4.7541213072415012E+00   9.3475984186277350E-01   5.4054901989915127E-01
         1         15   2.3511761289480449E-02   1.5122608637455794E+00   5.0610095374278230E-01   1.8233506618450487E-01
         1         16   7.3927809728348890E-10   3.7390775153289102E-01   1.2353446931945773E-02   2.0602791310204108E-02
         1         17   1.3427876053243868E+00   9.0534411390383873E+00   5.0088776667951569E+00   1.0567537237911395E+00
         1         18   1.2960132434841901E-05   3.5702188489302036E+00   5.2498563257950970E-01   4.0710484208510145E-01
         1         19   4.5319473554303180E-01   7.1015351286113297E+00   3.8787214955658986E+00   9.1678045944564546E-01
         1         20   2.5862853092906048E-11   2.7131909709756976E+00   1.9714741452770376E-01   2.5253615111964256E-01
         1         21   1.1603649203059464E-01   6.1294083707797622E+00   3.5178292973244250E+00   9.4095845989340465E-01
         1         22   5.4928487157712820E-19   2.3189267446154105E+00   9.0223181202662289E-02   1.7447249725139230E-01
         1         23   1.5825394335750915E+00   3.6740785726465745E+01   1.1365849652693008E+01   5.0014029254036521E+00
         1         24   3.4771003748103720E-02   1.8984512319141217E+01   4.3558250157712761E+00   2.1695041052889117E+00
         1         25   7.8764560129338752E-05   6.7575813197551131E+00   4.7756098760627635E-01   4.3828082427854009E-01
         1         26   6.4928415828780652E+00   8.3294384823538465E+01   2.8643867180736617E+01   1.2281422306811534E+01
         1         27   1.6825728668366952E-01   3.9173827739915367E+01   8.8251769268153559E+00   4.0905720643067038E+00
         1         28   4.6936601071010010E-04   1.7793443102884837E+01   2.0132976077347307E+00   1.4317012592151244E+00
         1         29   4.9656935389996931E-01   1.9472733881930470E+01   6.2491004306396762E+00   2.7858039523715261E+00
         1         30   8.0566335324965040E-03   1.0034788836412792E+01   1.9603839618110770E+00   1.1134362479837845E+00
         1         31   1.2268212501385607E-05   3.0346792274943701E+00   1.2326442335603754E-01   1.6243871518244840E-01
         1         32   5.5118943559498819E+00   6.6189164969865374E+01   2.3527117958683291E+01   1.0033298104075929E+01
         1         33   1.4071661793220303E-01   2.9380291999309723E+01   6.4297358728551508E+00   3.0438777773961028E+00
         1         34   4.0286966308214695E-04   1.4052189858157577E+01   1.6590010434844791E+00   1.1536265665765675E+00
         1         35   4.8640535706179405E-02   1.1195204347031405E+01   3.4388067330194834E+00   1.6070465028589880E+00
         1         36   7.4729775153116538E-04   5.1674968392386491E+00   6.6818680543719577E-01   4.9687552076889829E-01
         1         37   3.2516361434756209E-07   1.3319336548438732E+00   1.7923401756958095E-02   5.6112963504223699E-02
         1         38   4.2216501428031572E+00   4.7809023950569596E+01   1.7924900333485819E+01   7.6103741939674476E+00
         1         39   8.2323910581323906E-02   1.8925750537425209E+01   3.8921164701077271E+00   1.9583968243137782E+00
         1         40   2.9908174412365726E-04   9.5918699807698822E+00   1.1720522777128171E+00   8.0275968962392796E-01
         1         41   1.2631224971993185E+00   3.1513036723159761E+01   9.6840266631929310E+00   4.3013528952831681E+00
         1         42   2.3403539869645384E-02   1.5834795580324846E+01   3.5465548600030359E+00   1.8181371895694893E+00
         1         43   4.6052598212393784E-05   5.5468295234012093E+00   3.7945408311313256E-01   3.5728333254031891E-01
         1         44   5.2866875362641998E+00   7.1468793705534708E+01   2.4432073249918254E+01   1.0546118067295735E+01
         1         45   1.1573534487624879E-01   3.2612703086640906E+01   7.1596346468477909E+00   3.4249473280007101E+00
         1         46   2.7565058648299081E-04   1.4616523078400643E+01   1.5792555028523723E+00   1.1530399201557842E+00
         1         47   3.7874961062158298E-02   9.7681629716395015E+00   2.9190169707213496E+00   1.3844682918172428E+00
         1         48   4.8660414742756123E-04   4.4256098556672629E+00   5.4166986042899534E-01   4.1249145288210676E-01
         1         49   1.8928995895556852E-07   1.0835192622907652E+00   1.4149918410514942E-02   4.5705810235135848E-02
         1         50   3.4867858493522115E+00   4.0853943690004215E+01   1.5268713436794494E+01   6.5315258612170544E+00
         1         51   5.7732616239706464E-02   1.5679358274046324E+01   3.1422256089907203E+00   1.6313563510052145E+00
         1         52   1.7601628888729915E-04   7.8855220992483712E+00   9.1201705115417098E-01   6.4050320056336985E-01
         2          1   0.0000000000000000E+00   1.2556929242168485E+01   2.2299328349076353E+00   2.9432862667625037E+00
         2          2   2.1755363254933119E-01   1.4815327781277418E+01   7.0900827404538900E+00   1.7550894847541989E+00
         2          3   0.0000000000000000E+00   9.5600040739014656E+00   1.4752739364489718E+00   2.0404221643040690E+00
         2          4   9.1261133344834516E-02   1.0549626818692815E+01   4.9470396777375791E+00   1.2591499805624320E+00
         2          5   0.0000000000000000E+00   7.4268460398020588E+00   9.7370803139860584E-01   1.4084801383380166E+00
         2          6   3.4885686648018985E-02   7.5066053011992802E+00   3.4233299058262867E+00   9.0236743987687351E-01
