################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.9298204558749159E+00 a         1     0     1     1     1
  9.0605503414254063E+00 a         2     0     1     1     2
 -2.5592867547693071E+01 a         3     0     1     1     3
  1.6485398964352235E+01 a         4     0     1     1     4
 -2.6324530958789904E+01 a         5     0     1     1     5
 -4.5657314389035264E+00 a         6     0     1     1     6
  3.5195461971921675E+00 a         7     0     1     1     7
 -1.2457578908282830E+01 a         8     0     1     1     8
  5.0886166574645397E+00 a         9     0     1     1     9
 -1.8080840361638494E+01 a        10     0     1     1    10
  1.2083528988852102E+01 a        11     0     1     1    11
  1.1509422028248311E+00 a        12     0     1     1    12
  4.2580517069646291E+00 a        13     0     1     1    13
  1.4049099905891534E+01 a        14     0     1     1    14
  3.7256795293098408E+00 a        15     0     1     1    15
  1.3385949409999029E+01 a        16     0     1     1    16
  5.0992615241985586E+00 a        17     0     1     1    17
  2.1321294211239383E+00 a        18     0     1     1    18
 -8.0797099499466949E+00 a        19     0     1     1    19
  4.6898734859830356E+00 a        20     0     1     1    20
 -7.8038587480049826E-01 a        21     0     2     1     1
  4.5131393009556398E-01 a        22     0     2     1     2
 -1.8259404387600200E+00 a        23     0     2     1     3
  7.6633881298966768E+00 a        24     0     2     1     4
  1.5899440495217862E+01 a        25     0     2     1     5
  1.3541629854604016E+00 a        26     0     2     1     6
  2.3081651394298954E+00 a        27     0     2     1     7
  7.4932857793470635E+00 a        28     0     2     1     8
  3.7515606065858380E+00 a        29     0     2     1     9
 -8.4202275432315121E-01 a        30     0     2     1    10
  4.0781887562483723E+00 a        31     0     2     1    11
  3.7514261837406004E+00 a        32     0     2     1    12
  1.0495283413588872E+01 a        33     0     2     1    13
 -1.5919739029762210E+01 a        34     0     2     1    14
 -5.5194216317499665E+00 a        35     0     2     1    15
  4.3159432483658913E+00 a        36     0     2     1    16
  2.4825622133203922E+00 a        37     0     2     1    17
 -3.3156993573167219E+00 a        38     0     2     1    18
 -2.3456978063244391E-01 a        39     0     2     1    19
  6.3026531685285150E+00 a        40     0     2     1    20
  6.6192820777552832E+00 a        41     0     3     1     1
 -4.2561234170439235E+00 a        42     0     3     1     2
  3.1217258229688461E+01 a        43     0     3     1     3
 -1.2685952770286010E+01 a        44     0     3     1     4
  2.3126349328179273E+01 a        45     0     3     1     5
  8.3295161921574579E+00 a        46     0     3     1     6
  8.3544718948188788E+00 a        47     0     3     1     7
  8.2806226092280486E+00 a        48     0     3     1     8
 -2.8983491679114168E+00 a        49     0     3     1     9
  1.1417583201579774E+01 a        50     0     3     1    10
 -7.3894024848836590E+00 a        51     0     3     1    11
 -9.5741209797828049E+00 a        52     0     3     1    12
 -7.0953037826392515E+00 a        53     0     3     1    13
 -1.3287948255222753E+01 a        54     0     3     1    14
 -9.6869655462914181E+00 a        55     0     3     1    15
 -2.2858953907698297E+01 a        56     0     3     1    16
  7.4948664464338499E+00 a        57     0     3     1    17
 -3.4747370014851464E-01 a        58     0     3     1    18
 -5.1417848844285823E+00 a        59     0     3     1    19
 -1.2208873508932649E+01 a        60     0     3     1    20
  7.0074803666508290E+00 a        61     0     4     1     1
  1.8642383880741142E+00 a        62     0     4     1     2
  7.2041433679984515E+00 a        63     0     4     1     3
 -4.7195627639018323E+00 a        64     0     4     1     4
 -6.9651063514208529E+00 a        65     0     4     1     5
 -5.6262114186145629E-01 a        66     0     4     1     6
  2.2489940904718315E+00 a        67     0     4     1     7
 -2.9973231364388946E+00 a        68     0     4     1     8
 -1.7967514727563232E+00 a        69     0     4     1     9
  1.7264798991625054E+00 a        70     0     4     1    10
  4.6217498775647323E+00 a        71     0     4     1    11
 -6.2522143187555272E+00 a        72     0     4     1    12
  2.8431574619716931E+00 a        73     0     4     1    13
  6.0614704418327525E+00 a        74     0     4     1    14
  3.5222641108638388E+00 a        75     0     4     1    15
 -2.6801159211059065E+00 a        76     0     4     1    16
  3.0252887571390574E+00 a        77     0     4     1    17
  6.7908256730022751E+00 a        78     0     4     1    18
 -9.5655976116522834E-01 a        79     0     4     1    19
 -1.1603037412732524E+00 a        80     0     4     1    20
  4.6708531019638535E+00 a        81     0     5     1     1
 -1.2228418456741698E+01 a        82     0     5     1     2
  1.9133877754157009E+01 a        83     0     5     1     3
 -1.3967818978057005E+01 a        84     0     5     1     4
  2.4138681685979702E+01 a        85     0     5     1     5
  1.2367527523276602E+00 a        86     0     5     1     6
  3.9407003290960430E+00 a        87     0     5     1     7
  1.1156839928528843E+01 a        88     0     5     1     8
 -4.7348469346590862E+00 a        89     0     5     1     9
  1.3258473769613772E+01 a        90     0     5     1    10
 -1.3348957856838970E+01 a        91     0     5     1    11
 -3.1277151627897708E+00 a        92     0     5     1    12
 -4.6568903504438737E+00 a        93     0     5     1    13
 -1.2684949261526635E+01 a        94     0     5     1    14
 -1.5527035101895055E+00 a        95     0     5     1    15
 -1.4878458786718811E+01 a        96     0     5     1    16
 -4.2465381207634767E+00 a        97     0     5     1    17
 -9.9063491022857331E-01 a        98     0     5     1    18
  9.7144565957677269E+00 a        99     0     5     1    19
 -2.9615566623975247E+00 a       100     0     5     1    20
  2.6240292506655085E+00 a       101     0     6     1     1
 -1.1109535821900066E-01 a       102     0     6     1     2
  2.4279760580407355E+00 a       103     0     6     1     3
 -4.3371262202902070E+00 a       104     0     6     1     4
 -6.4605383024642631E+00 a       105     0     6     1     5
 -3.3907978831991525E-01 a       106     0     6     1     6
 -3.2645989584599544E+00 a       107     0     6     1     7
 -4.4566562500000453E+00 a       108     0     6     1     8
 -2.9106370180739516E+00 a       109     0     6     1     9
 -8.7401944559452349E-01 a       110     0     6     1    10
 -3.3034089118241505E+00 a       111     0     6     1    11
 -5.6554786433770801E+00 a       112     0     6     1    12
 -4.4200180562523581E+00 a       113     0     6     1    13
  9.1472837993120404E+00 a       114     0     6     1    14
  4.8615753774336392E+00 a       115     0     6     1    15
 -2.0923949255184140E+00 a       116     0     6     1    16
 -3.4617391969318173E-01 a       117     0     6     1    17
  3.9137672479504793E+00 a       118     0     6     1    18
 -2.1694536720297033E+00 a       119     0     6     1    19
 -4.0027023966782878E+00 a       120     0     6     1    20
 -3.9642437330195008E+00 a       121     0     7     1     1
  7.9051213453265223E+00 a       122     0     7     1     2
 -8.1590344503090417E+00 a       123     0     7     1     3
  3.9904538176883975E+00 a       124     0     7     1     4
 -1.4236234326813705E+01 a       125     0     7     1     5
 -1.9996229389796782E+00 a       126     0     7     1     6
 -4.8855324018699289E+00 a       127     0     7     1     7
 -7.6579482945638464E+00 a       128     0     7     1     8
  6.5677315518599599E-01 a       129     0     7     1     9
 -4.7655865238445276E+00 a       130     0     7     1    10
  1.0033462020057433E+00 a       131     0     7     1    11
  2.4964470496071738E+00 a       132     0     7     1    12
 -1.2081177521419464E+00 a       133     0     7     1    13
  8.6642948700902866E-01 a       134     0     7     1    14
  4.4534388307965624E+00 a       135     0     7     1    15
  1.2648798230447197E+01 a       136     0     7     1    16
  1.9437710920486302E+00 a       137     0     7     1    17
 -5.5268777562694205E-01 a       138     0     7     1    18
 -2.2254318181529245E+00 a       139     0     7     1    19
 -1.7618782613745401E+00 a       140     0     7     1    20
 -3.4140806896457669E+00 a       141     0     8     1     1
  2.7403898544583751E+00 a       142     0     8     1     2
 -4.6553306472492390E-01 a       143     0     8     1     3
  4.5885893604907618E-01 a       144     0     8     1     4
 -5.4373858310312106E-01 a       145     0     8     1     5
 -1.5763997913318253E+00 a       146     0     8     1     6
  1.5988059867627971E+00 a       147     0     8     1     7
  1.7932793020998339E+00 a       148     0     8     1     8
 -2.4031442775334250E-01 a       149     0     8     1     9
  1.4430244368725983E-01 a       150     0     8     1    10
  1.7183484837744220E-02 a       151     0     8     1    11
  3.8624738384779000E+00 a       152     0     8     1    12
 -4.0955255835237496E+00 a       153     0     8     1    13
 -3.4143600648094354E+00 a       154     0     8     1    14
 -2.5057657583716662E+00 a       155     0     8     1    15
  6.2802673965864031E-01 a       156     0     8     1    16
 -4.2536828615038358E+00 a       157     0     8     1    17
 -6.4170617953014446E+00 a       158     0     8     1    18
  6.8758308141334712E-01 a       159     0     8     1    19
  2.2130734015358411E+00 a       160     0     8     1    20
 -1.2984303502204420E-01 a       161     0     9     1     1
 -1.9194349270816534E+01 a       162     0     9     1     2
 -7.4526177655531729E+00 a       163     0     9     1     3
 -9.1428689538515791E+00 a       164     0     9     1     4
  1.5363057237433102E+01 a       165     0     9     1     5
 -9.0382449127907645E+00 a       166     0     9     1     6
 -2.2758667167514322E+00 a       167     0     9     1     7
  9.3812582786335703E+00 a       168     0     9     1     8
 -3.4364775419552904E+00 a       169     0     9     1     9
  7.4390111604503089E+00 a       170     0     9     1    10
 -1.0785048357404925E+01 a       171     0     9     1    11
  9.3761151163291281E+00 a       172     0     9     1    12
 -8.0513961045847326E-01 a       173     0     9     1    13
 -3.1863826582269819E+00 a       174     0     9     1    14
  1.0735188308591095E+01 a       175     0     9     1    15
  7.4508893208885754E+00 a       176     0     9     1    16
 -1.8333635982298890E+01 a       177     0     9     1    17
 -1.0776626460878316E+00 a       178     0     9     1    18
  2.5648026325960206E+01 a       179     0     9     1    19
  2.0398647335342947E+01 a       180     0     9     1    20
 -4.6311386461955291E+00 a       181     0    10     1     1
 -3.3450651245702399E+00 a       182     0    10     1     2
 -8.5906898467897257E+00 a       183     0    10     1     3
 -1.2107717127232831E+00 a       184     0    10     1     4
 -2.0697448678782870E+00 a       185     0    10     1     5
  3.0279033097710917E+00 a       186     0    10     1     6
 -9.1267320827390854E+00 a       187     0    10     1     7
 -3.5016151043178145E+00 a       188     0    10     1     8
 -1.1540971159505298E+00 a       189     0    10     1     9
 -6.6794970197221630E+00 a       190     0    10     1    10
 -1.1780463859016432E+01 a       191     0    10     1    11
 -1.9386068136076604E+00 a       192     0    10     1    12
 -1.3816620580616640E+01 a       193     0    10     1    13
  3.8253147256323738E+00 a       194     0    10     1    14
  3.1926619006966166E+00 a       195     0    10     1    15
  8.0928379807106465E-01 a       196     0    10     1    16
 -6.8797946189254198E+00 a       197     0    10     1    17
