################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.6214660994855542E-04   2.6193944958057788E+01   1.0054938671929262E+01   4.4196220642497401E+00
         1          2   0.0000000000000000E+00   1.0469752896866614E+01   2.8448733137207625E+00   1.6576785292258143E+00
         1          3   7.7746388746700789E-05   1.9383310967309562E+01   7.6234911454564473E+00   3.1879720616420553E+00
         1          4   0.0000000000000000E+00   7.6447363144022527E+00   1.9164332891007407E+00   1.1932682659860521E+00
         1          5   2.0144878273008962E-05   1.4409531153854365E+01   5.8380243756155723E+00   2.3221681291946621E+00
         1          6   0.0000000000000000E+00   5.6066810191950136E+00   1.2928056630321851E+00   8.6659273659054825E-01
         1          7   3.5044342260335690E-07   7.0564624714666593E+00   3.1205307108560283E+00   1.1128053910783000E+00
         1          8   0.0000000000000000E+00   2.5973903859202112E+00   4.8608094266943164E-01   4.0103370619322926E-01
         1          9   7.2992898357908707E-06   1.8125398617366749E+01   7.2426407569031444E+00   2.8998305103321216E+00
         1         10   0.0000000000000000E+00   7.1426963706747131E+00   1.6042125079413607E+00   1.1011415542542389E+00
         1         11   4.0929837724259539E-10   3.2735889432313057E+00   1.4802575066487276E+00   4.9382950823478677E-01
         1         12   0.0000000000000000E+00   1.1153254825309036E+00   1.3662607903863014E-01   1.4890006050892535E-01
         1         13   1.7756829054484948E-07   1.3975015997147427E+01   5.8837069758469545E+00   2.2064621454415305E+00
         1         14   0.0000000000000000E+00   5.6130451266976982E+00   1.0884665027727292E+00   8.5941671601682990E-01
         1         15   5.5832135836207767E-16   1.5122608637455794E+00   4.7488095109361739E-01   1.6759230552012039E-01
         1         16   0.0000000000000000E+00   3.7723120700301582E-01   1.7714979158426954E-02   2.9773922061446110E-02
         1         17   1.0508361965392990E-10   1.0297976766656129E+01   4.6669079127578001E+00   1.6211124604690719E+00
         1         18   0.0000000000000000E+00   4.1716085783968229E+00   6.6408269615306503E-01   6.4462739002858371E-01
         1         19   2.1779296840269146E-20   7.6766188023463338E+00   3.6828004554279494E+00   1.1917271337803812E+00
         1         20   0.0000000000000000E+00   3.2022861282765076E+00   2.8724787438062171E-01   3.9749142152325473E-01
         1         21   2.6712977266442226E-33   6.8078460900343334E+00   3.3872550637470193E+00   1.0925079223826279E+00
         1         22   0.0000000000000000E+00   2.8310556056933041E+00   1.3922095381360394E-01   2.6573522392437593E-01
         1         23   0.0000000000000000E+00   6.1881600729541482E+01   1.1352443270164478E+01   8.8324171075964060E+00
         1         24   0.0000000000000000E+00   1.8984512319141217E+01   3.7129567775866725E+00   2.1655794389319412E+00
         1         25   0.0000000000000000E+00   8.6661234421310596E+00   6.7115016437629005E-01   9.3497687382470329E-01
         1         26   0.0000000000000000E+00   1.4212974606589441E+02   2.9081264290395591E+01   2.2163370837210174E+01
         1         27   0.0000000000000000E+00   3.9173827739915367E+01   7.3712004610034008E+00   3.9773660342116415E+00
         1         28   0.0000000000000000E+00   1.9165630359277472E+01   2.2121832539366051E+00   2.0627291372154355E+00
         1         29   0.0000000000000000E+00   3.0203165216179990E+01   5.8612592178945722E+00   4.3001355372342918E+00
         1         30   0.0000000000000000E+00   1.0034788836412792E+01   1.7563453650010652E+00   1.1233201857923265E+00
         1         31   0.0000000000000000E+00   4.0020437718922075E+00   2.2414186368806888E-01   4.2851773834338691E-01
         1         32   0.0000000000000000E+00   1.1093952089171731E+02   2.3590080238125690E+01   1.7578115738971594E+01
         1         33   0.0000000000000000E+00   2.9380291999309723E+01   5.4145890484177936E+00   2.9311307441093706E+00
         1         34   0.0000000000000000E+00   1.4501550689038629E+01   1.7651749532483831E+00   1.5590328233181070E+00
         1         35   0.0000000000000000E+00   1.3326338935478788E+01   2.9463662967378457E+00   2.0119393210952157E+00
         1         36   0.0000000000000000E+00   5.1674968392386491E+00   6.7746175084799110E-01   5.2714596097722732E-01
         1         37   0.0000000000000000E+00   1.7271211771149442E+00   5.5790531433407162E-02   1.6615534659002665E-01
         1         38   0.0000000000000000E+00   7.6971866492842011E+01   1.7510373742842152E+01   1.2519236985931020E+01
         1         39   0.0000000000000000E+00   1.8925750537425209E+01   3.3591588400301924E+00   1.8574807787176195E+00
         1         40   0.0000000000000000E+00   9.5918699807698822E+00   1.1989715556107972E+00   9.9862535619674808E-01
         1         41   0.0000000000000000E+00   5.1678256718936851E+01   9.6126773921197870E+00   7.3797757535996444E+00
         1         42   0.0000000000000000E+00   1.5834795580324846E+01   3.0389972508492686E+00   1.7951885082204411E+00
