################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.8520083501216758E-01   2.5661642678619661E+01   9.1576724409426049E+00   3.7312862027955518E+00
         1          2   0.0000000000000000E+00   1.0120090423182219E+01   2.7988557415530289E+00   1.3228193756239601E+00
         1          3   8.5197130286818995E-02   1.8301811840458182E+01   7.0177767460653930E+00   2.7198994874662556E+00
         1          4   0.0000000000000000E+00   7.3762808073218373E+00   1.8748482757384795E+00   9.6467857810173474E-01
         1          5   3.4616797090995945E-02   1.3183496355038823E+01   5.4277160646708635E+00   2.0099534709243247E+00
         1          6   0.0000000000000000E+00   5.4040732341043878E+00   1.2570213212095915E+00   7.1104944172622087E-01
         1          7   2.1901507700473042E-03   6.0908442084662084E+00   2.9573314224995491E+00   1.0139632953404136E+00
         1          8   0.0000000000000000E+00   2.5007177644563963E+00   4.6534594864802931E-01   3.4118907591189884E-01
         1          9   2.4558296844907415E-02   1.6454524456303709E+01   6.7463799766087167E+00   2.4982433338936390E+00
         1         10   0.0000000000000000E+00   6.8726630758089851E+00   1.5552721362626452E+00   9.0772719228632803E-01
         1         11   2.4463510891217609E-05   3.2264608818072085E+00   1.4190339585422378E+00   4.8525924427423306E-01
         1         12   0.0000000000000000E+00   1.0900253245270330E+00   1.2889675841622164E-01   1.3025408132006994E-01
         1         13   2.8931846379199725E-03   1.2134835908376033E+01   5.5553165880565700E+00   1.9435859147662982E+00
         1         14   0.0000000000000000E+00   5.3711081863408179E+00   1.0429475676031312E+00   7.2828702670394796E-01
         1         15   3.6667251629068998E-09   1.4833348178927552E+00   4.5611337858582207E-01   1.7908768205835407E-01
         1         16   0.0000000000000000E+00   4.4049175002056656E-01   1.6589251249462200E-02   2.6530524215716288E-02
         1         17   4.6119664690690784E-05   9.2089628380283362E+00   4.4661585193848090E+00   1.4761298414608905E+00
         1         18   0.0000000000000000E+00   4.1104406745671085E+00   6.2761502985587014E-01   5.6150934727531199E-01
         1         19   2.6454460696769728E-10   7.3341628625840061E+00   3.5506694959981133E+00   1.1338473365829240E+00
         1         20   0.0000000000000000E+00   3.1265596329930943E+00   2.6842149422637079E-01   3.5118704316818722E-01
         1         21   2.8080806856650061E-17   6.5815475766108698E+00   3.2488533822918417E+00   1.0674021817410679E+00
         1         22   0.0000000000000000E+00   2.6716802435250968E+00   1.3019270200452018E-01   2.3415685079523793E-01
         1         23   1.4541346383245784E-06   4.8907239211648829E+01   9.5008428292303311E+00   6.9002280290028333E+00
         1         24   0.0000000000000000E+00   1.8281630369790438E+01   3.5869027161375762E+00   1.8732499668317040E+00
         1         25   0.0000000000000000E+00   8.0330931075885914E+00   5.8850785904691194E-01   6.9429317815696379E-01
         1         26   7.8709836201518681E-05   1.2264227426180231E+02   2.4114332256621818E+01   1.7152428094103705E+01
         1         27   0.0000000000000000E+00   3.7711669754140168E+01   7.0376785131377373E+00   3.4515746765904458E+00
         1         28   0.0000000000000000E+00   1.7629390317350605E+01   2.0681943714545348E+00   1.6147952884869690E+00
         1         29   6.4536742577114209E-09   2.2957941674364292E+01   5.0972907110060062E+00   3.5974505613662910E+00
         1         30   0.0000000000000000E+00   9.7327372712090465E+00   1.6830473143863944E+00   9.7440519025060912E-01
         1         31   0.0000000000000000E+00   3.6769244337139870E+00   1.8419612724418835E-01   3.1496445228022024E-01
         1         32   6.6370573007195258E-05   9.7189096482391946E+01   1.9710780138397499E+01   1.3802460454428065E+01
         1         33   0.0000000000000000E+00   2.8273368684685213E+01   5.1338231113865778E+00   2.5436796584679722E+00
         1         34   0.0000000000000000E+00   1.3503680329590747E+01   1.6638826396518134E+00   1.2369813531874363E+00
