################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.8072973262384522E+01 a         1     0     1     1     1
 -7.8783808880633231E+01 a         2     0     1     1     2
 -6.4226968724708030E+01 a         3     0     1     1     3
 -1.7181496722734278E+02 a         4     0     1     1     4
  5.0450557487391396E+00 a         5     0     1     1     5
 -9.0950623197315068E+01 a         6     0     1     1     6
  3.6939947380114795E+01 a         7     0     1     1     7
 -7.4124007930742437E+01 a         8     0     1     1     8
  5.9647041750293923E+01 a         9     0     1     1     9
 -1.0575655236658827E+02 a        10     0     1     1    10
  9.2560241271378899E+01 a        11     0     1     1    11
  1.9632985520988103E+02 a        12     0     1     1    12
 -7.4424510985505679E+00 a        13     0     1     1    13
 -3.7415266281336820E+01 a        14     0     1     1    14
  8.7335248075054878E+01 a        15     0     1     1    15
  6.4107027924118964E-01 a        16     0     1     1    16
  4.1173387959556287E+01 a        17     0     1     1    17
 -3.8449822125500901E+01 a        18     0     1     1    18
 -7.6975806958846022E+01 a        19     0     1     1    19
 -7.0561480641031054E+01 a        20     0     1     1    20
 -4.6078818298705578E+01 a        21     0     2     1     1
 -2.2534789380420595E+01 a        22     0     2     1     2
 -1.2241450439822364E+01 a        23     0     2     1     3
  5.2096086441404822E+01 a        24     0     2     1     4
  2.9038567237995196E+00 a        25     0     2     1     5
 -4.9808896666332998E+01 a        26     0     2     1     6
  2.2127451470421271E+01 a        27     0     2     1     7
 -9.1521392016659568E+00 a        28     0     2     1     8
 -1.4449071866396801E+01 a        29     0     2     1     9
  1.9158880073372828E+01 a        30     0     2     1    10
  2.5456594658179810E+01 a        31     0     2     1    11
 -3.0123578505174141E+01 a        32     0     2     1    12
  2.4771926210419423E+01 a        33     0     2     1    13
 -1.4268630751642696E+01 a        34     0     2     1    14
 -1.9766313504579763E+01 a        35     0     2     1    15
 -2.6951393691469882E+01 a        36     0     2     1    16
  6.9876932558123812E+00 a        37     0     2     1    17
 -1.7962051601645463E+01 a        38     0     2     1    18
 -2.1486687782346912E+01 a        39     0     2     1    19
  5.9363418032236765E+00 a        40     0     2     1    20
  1.9188356001348285E+02 a        41     0     3     1     1
  2.0372371271605866E+02 a        42     0     3     1     2
  3.2230648131208102E+02 a        43     0     3     1     3
  4.7173448264081514E+02 a        44     0     3     1     4
 -1.9790324410435750E+02 a        45     0     3     1     5
  1.1899060530140451E+02 a        46     0     3     1     6
 -1.3043614467717376E+02 a        47     0     3     1     7
  1.2854560139745050E+02 a        48     0     3     1     8
 -2.4574948982764962E+01 a        49     0     3     1     9
  2.3960966541155486E+02 a        50     0     3     1    10
 -2.3489855183293980E+02 a        51     0     3     1    11
 -5.0057085612774722E+02 a        52     0     3     1    12
  1.6672445650007795E+01 a        53     0     3     1    13
  4.3468620340771764E+01 a        54     0     3     1    14
 -4.3178525139339308E+02 a        55     0     3     1    15
  3.9293824865859030E+01 a        56     0     3     1    16
 -1.6456202420231645E+02 a        57     0     3     1    17
  1.0529628260377771E+02 a        58     0     3     1    18
  1.4254124973349766E+02 a        59     0     3     1    19
 -5.4623782901061794E+01 a        60     0     3     1    20
  1.8376678209553887E+02 a        61     0     4     1     1
  8.3049598761608678E+01 a        62     0     4     1     2
  6.3641216369759405E+01 a        63     0     4     1     3
 -2.1126925385333266E+02 a        64     0     4     1     4
  3.4907369014164757E+01 a        65     0     4     1     5
